Azimuth Dip DipAzimuth
98	88	S
104	88	S
143	88	S
155	85	S
64	89	S
127	90	S
171	90	S
146	90	S
174	90	N
29	88	N
156	85	N
92	90	N
38	86	N
68	85	N
156	88	N
26	86	N
180	85	N
163	89	N
83	88	N
135	87	N
49	90	N
120	86	N
16	86	N
28	89	N
10	89	N
150	85	N
12	87	N
99	85	N
115	86	N
29	87	N
37	88	N
71	87	N
31	86	N
80	87	N
138	89	N
91	85	N
178	88	N
1	86	S
48	88	S
124	87	S
15	89	S
8	90	S
136	89	S
23	90	S
102	87	S
89	86	S
9	87	S
126	86	S
39	89	S
119	90	S
111	89	S
112	88	S
161	89	S
117	90	S
17	87	S
165	87	S
37	86	S
18	90	S
154	87	S
168	90	S
134	90	S
151	90	S
130	88	S
63	88	S
45	88	S
175	85	S
57	87	S
167	85	S
14	88	S
175	88	S
75	90	S
40	90	S
80	88	S
174	87	S
49	89	S
170	88	S
2	85	S
86	90	S
128	87	S
176	89	S
151	89	S
42	88	S
95	85	S
14	87	S
4	86	S
18	86	S
44	86	S
125	89	S
120	89	S
50	86	S
51	86	S
33	89	S
177	88	S
13	89	S
120	88	S
3	88	S
157	85	S
87	86	S
106	89	S
54	87	S
73	85	S
32	89	S
52	90	S
174	89	S
7	88	S
152	86	S
136	86	S
99	85	S
103	90	S
23	85	S
87	88	S
138	87	S
167	88	S
163	87	S
91	85	S
77	89	S
75	87	S
9	85	S
133	88	S
81	90	S
154	89	S
112	85	S
150	90	S
78	85	S
170	90	S
52	87	S
9	90	S
103	88	S
123	86	S
82	87	S
24	88	S
87	86	S
62	87	S
140	90	S
151	87	S
59	87	S
118	88	S
161	86	S
86	87	S
4	90	S
81	86	S
179	88	S
153	85	S
170	90	S
74	88	S
101	90	S
169	85	S
74	87	S
147	90	S
1	86	S
179	89	S
141	87	S
137	89	S
155	88	S
154	90	S
42	85	S
100	86	S
152	86	S
55	89	S
104	88	S
27	90	S
156	90	S
118	85	S
53	89	S
79	88	S
65	90	S
146	90	S
114	86	S
91	89	S
77	89	S
57	86	S
157	89	S
46	88	S
155	86	S
26	89	S
42	86	S
99	85	S
36	86	S
11	85	S
74	90	S
105	87	S
79	88	S
53	90	S
139	90	S
19	89	S
173	85	S
174	88	S
123	85	S
180	85	S
143	90	S
162	89	S
65	88	S
74	85	S
60	86	S
128	85	S
28	89	S
88	86	S
142	89	S
128	85	S
171	85	S
